item,ans_ind,ans_text,ans_prop,state
"33. the ""s"" in ""chromosome""",a,[s],33.24,OR
"33. the ""s"" in ""chromosome""",b,[z],45.85,OR
"33. the ""s"" in ""chromosome""",c,both are acceptable to me,20.63,OR
"33. the ""s"" in ""chromosome""",d,other,0.29,OR
34. et cetera,a,pronounced e[ts]etera (4 syllables),63.51,OR
34. et cetera,b,pronounced e[ts]etra (3 syllables),12.07,OR
34. et cetera,c,pronounced eksetera (4 syllables),14.37,OR
34. et cetera,d,pronounced eksetra (3 syllables),6.03,OR
34. et cetera,e,other,4.02,OR
"35. the final consonant in ""garage""",a,"[] as in the middle consonant of ""measure""",46.92,OR
"35. the final consonant in ""garage""",b,"[] as in ""edge""",41.06,OR
"35. the final consonant in ""garage""",c,I use both interchangeably,11.44,OR
"35. the final consonant in ""garage""",d,other,0.59,OR
"36. the ""c"" in ""grocery""",a,"[s] as in ""sock""",32.46,OR
"36. the ""c"" in ""grocery""",b,"[] as in ""shock""",65.51,OR
"36. the ""c"" in ""grocery""",c,other,2.03,OR
"37. huge, humor, humongous, human...",a,I pronounce the h,97.69,OR
"37. huge, humor, humongous, human...",b,I don't pronounce the h,1.16,OR
"37. huge, humor, humongous, human...",c,I can pronounce the h or not,1.16,OR
"38. the ""s"" in ""nursery""",a,"[s] as in ""sock""",86.74,OR
"38. the ""s"" in ""nursery""",b,"[] as in ""shock""",12.39,OR
"38. the ""s"" in ""nursery""",c,other,0.86,OR
"39. the ""s"" in the last name of Elvis Presley",a,[s],82.42,OR
"39. the ""s"" in the last name of Elvis Presley",b,[z],17.58,OR
40. quarter,a,with [kw],62.07,OR
40. quarter,b,"with [k] (""cor-ter"")",31.61,OR
40. quarter,c,I use both interchangeably,5.75,OR
40. quarter,d,other,0.57,OR
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",a,spicket,8.33,OR
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",b,spigot,62.93,OR
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",c,I use both interchangeably,2.87,OR
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",d,"I say ""spicket"" but spell it ""spigot""",5.46,OR
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",e,I use both with different meanings (please explain how in the comments box),0.29,OR
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",f,I don't use either version of this word,18.68,OR
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",g,other,1.44,OR
42. strength,a,"the ""g"" is pronounced as [g]",37.21,OR
42. strength,b,"the ""g"" is pronounced as [k]",49.13,OR
42. strength,c,"the ""g"" is silent",13.66,OR
"43. the final consonant in ""Texas""",a,[s],93.95,OR
"43. the final consonant in ""Texas""",b,[z],3.46,OR
"43. the final consonant in ""Texas""",c,either one,2.59,OR
44. cream cheese,a,CREAM cheese (stress on the first syllable),49.42,OR
44. cream cheese,b,cream CHEESE (stress on the second syllable),25.29,OR
44. cream cheese,c,it sounds right either way,20.64,OR
44. cream cheese,d,other,4.65,OR
45. insurance,a,INsurance (stress on the first syllable),11.27,OR
45. insurance,b,inSURance (stress on the second syllable),79.48,OR
45. insurance,c,I can stress either the first or the second syllable,8.96,OR
45. insurance,d,other,0.29,OR
46. New Haven (the city in Connecticut where Yale University is located),a,NEW Haven,45.06,OR
46. New Haven (the city in Connecticut where Yale University is located),b,New HAVEN,40.99,OR
46. New Haven (the city in Connecticut where Yale University is located),c,I use both interchangeably,11.34,OR
46. New Haven (the city in Connecticut where Yale University is located),d,other,2.62,OR
47. Thanksgiving,a,THANKSgiving,20,OR
47. Thanksgiving,b,ThanksGIVing,72.06,OR
47. Thanksgiving,c,I use both interchangeably,6.76,OR
47. Thanksgiving,d,other,1.18,OR
48. umbrella,a,UMbrella,13.66,OR
48. umbrella,b,umBRELLa,86.34,OR
49. I ____ her lifeless body from the pool,a,dragged,66.67,OR
49. I ____ her lifeless body from the pool,b,drug,23.39,OR
49. I ____ her lifeless body from the pool,c,I use both interchangeably,9.36,OR
49. I ____ her lifeless body from the pool,d,other,0.58,OR
50. What word(s) do you use to address a group of two or more people?,a,you all,8.48,OR
50. What word(s) do you use to address a group of two or more people?,c,you lot,0.58,OR
50. What word(s) do you use to address a group of two or more people?,d,you guys,56.73,OR
50. What word(s) do you use to address a group of two or more people?,g,you,24.85,OR
50. What word(s) do you use to address a group of two or more people?,h,other,2.92,OR
50. What word(s) do you use to address a group of two or more people?,i,y'all,6.43,OR
"51. Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",a,yes,29.24,OR
"51. Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",b,no,66.96,OR
"51. Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",c,other,3.8,OR
"52. Would you say ""where are you at?"" to mean ""where are you?""",a,yes,31.2,OR
"52. Would you say ""where are you at?"" to mean ""where are you?""",b,no,36.44,OR
"52. Would you say ""where are you at?"" to mean ""where are you?""",c,"I can use ""where are you at"" in contexts such as asking someone how s/he is coming along on a project, but not in the general sense of ""where are you physically located in the world at this moment"".",32.36,OR
"53. Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",a,yes (please consider adding which combinations of modals you use in the comments box),6.14,OR
"53. Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",b,no,92.98,OR
"53. Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",c,other,0.88,OR
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",a,"this use of ""anymore"" is acceptable",6.73,OR
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",b,"this use of ""anymore"" is unacceptable",90.94,OR
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",c,not sure,2.34,OR
55. I do exclusively figurative paintings anymore,a,acceptable,8.16,OR
55. I do exclusively figurative paintings anymore,b,unacceptable,87.76,OR
55. I do exclusively figurative paintings anymore,c,not sure,4.08,OR
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,a,acceptable,45.61,OR
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,b,unacceptable,49.42,OR
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,c,not sure,4.97,OR
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),a,acceptable,19.53,OR
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),b,unacceptable,71.14,OR
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),c,not sure,9.33,OR
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",a,tag sale,0.58,OR
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",j,car boot sale,0.29,OR
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",l,patio sale,0.29,OR
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",m,other,4.68,OR
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",b,yard sale,26.02,OR
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",c,garage sale,66.67,OR
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",d,rummage sale,1.17,OR
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",f,stoop sale,0.29,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",a,mumblety-peg,9.65,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",j,numblety peg,0.29,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",m,stick-knife,0.88,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",o,stretch,1.46,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",p,chicken,3.51,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",s,Russian roulette,0.88,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",b,mumbledy-peg,8.19,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",t,"I have never heard of this ""game"" and have no idea what it's called",48.54,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",u,other (state here if you have heard one or more of these terms but never knew what they meant),10.23,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",c,mumbly peg,14.33,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",d,mumbly pegs,0.29,OR
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",e,mumblely peg (with 2 l's),1.75,OR
60. What do you call the area of grass between the sidewalk and the road?,a,berm,2.98,OR
60. What do you call the area of grass between the sidewalk and the road?,b,parking,4.76,OR
60. What do you call the area of grass between the sidewalk and the road?,c,tree lawn,0.6,OR
60. What do you call the area of grass between the sidewalk and the road?,e,curb strip,13.1,OR
60. What do you call the area of grass between the sidewalk and the road?,f,beltway,0.3,OR
60. What do you call the area of grass between the sidewalk and the road?,g,verge,2.98,OR
60. What do you call the area of grass between the sidewalk and the road?,h,I have no word for this,55.95,OR
60. What do you call the area of grass between the sidewalk and the road?,i,other,19.35,OR
61. What do you call the area of grass that occurs in the middle of some streets?,a,boulevard,5.99,OR
61. What do you call the area of grass that occurs in the middle of some streets?,b,midway,0.6,OR
61. What do you call the area of grass that occurs in the middle of some streets?,c,traffic island,11.68,OR
61. What do you call the area of grass that occurs in the middle of some streets?,d,island,52.69,OR
61. What do you call the area of grass that occurs in the middle of some streets?,e,neutral ground,0.3,OR
61. What do you call the area of grass that occurs in the middle of some streets?,f,I have no word for this,17.07,OR
61. What do you call the area of grass that occurs in the middle of some streets?,g,other,11.68,OR
62. What do you call the long narrow place in the middle of a divided highway?,a,median strip,16.47,OR
62. What do you call the long narrow place in the middle of a divided highway?,j,other,4.12,OR
62. What do you call the long narrow place in the middle of a divided highway?,b,median,74.71,OR
62. What do you call the long narrow place in the middle of a divided highway?,e,traffic island,0.59,OR
62. What do you call the long narrow place in the middle of a divided highway?,f,neutral ground,0.29,OR
62. What do you call the long narrow place in the middle of a divided highway?,g,island,0.88,OR
62. What do you call the long narrow place in the middle of a divided highway?,i,I have no word for this,2.94,OR
63. What do you call the drink made with milk and ice cream?,a,milkshake/shake,99.71,OR
63. What do you call the drink made with milk and ice cream?,b,frappe,0.29,OR
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",a,sub,89.15,OR
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",j,I have no word for this,0.59,OR
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",k,other,4.11,OR
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",b,grinder,0.59,OR
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",c,hoagie,3.23,OR
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",d,hero,0.88,OR
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",e,poor boy,0.88,OR
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",h,baguette,0.59,OR
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,a,lightning bug,8.26,OR
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,b,firefly,62.54,OR
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,c,I use lightning bug and firefly interchangeably,26.84,OR
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,d,peenie wallie,0.59,OR
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,e,I have no word for this,1.77,OR
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,a,crawfish,26.98,OR
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,b,crayfish,9.97,OR
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,e,crawdad,55.43,OR
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,g,I have no word for this critter,2.64,OR
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,h,other,4.99,OR
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,a,daddy long leg(s),96.79,OR
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,k,shepherd spider,0.29,OR
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,l,other,0.87,OR
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,b,daddy big legs,1.17,OR
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,e,granddaddy,0.29,OR
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,h,harvestman,0.29,OR
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,i,moskeet spider,0.29,OR
68. What nicknames do/did you use for your maternal grandmother?,a,grandmother,4.76,OR
68. What nicknames do/did you use for your maternal grandmother?,b,granny,2.38,OR
68. What nicknames do/did you use for your maternal grandmother?,c,grandma,58.63,OR
68. What nicknames do/did you use for your maternal grandmother?,d,nana,3.27,OR
68. What nicknames do/did you use for your maternal grandmother?,e,mimi,0.3,OR
68. What nicknames do/did you use for your maternal grandmother?,f,grammy/grammie/grammi,2.38,OR
68. What nicknames do/did you use for your maternal grandmother?,g,other,28.27,OR
69. What about your paternal grandmother (is there a distinction?),a,grandmother,6.34,OR
69. What about your paternal grandmother (is there a distinction?),b,granny,3.02,OR
69. What about your paternal grandmother (is there a distinction?),c,grandma,50.45,OR
69. What about your paternal grandmother (is there a distinction?),d,gramma,20.85,OR
69. What about your paternal grandmother (is there a distinction?),e,nana,3.63,OR
69. What about your paternal grandmother (is there a distinction?),f,other,15.71,OR
70. What do/did you call your maternal grandfather?,a,gramps,2.13,OR
70. What do/did you call your maternal grandfather?,b,grandpa,21.58,OR
70. What do/did you call your maternal grandfather?,c,grampa,21.28,OR
70. What do/did you call your maternal grandfather?,d,"grandad, granddad",4.26,OR
70. What do/did you call your maternal grandfather?,f,"I spell it ""grandpa"" but pronounce it as ""grampa""",33.43,OR
70. What do/did you call your maternal grandfather?,g,other (including if you use a different term to address him directly than you do when speaking about him to a third party),17.33,OR
71. paternal grandfather?,a,gramps,1.54,OR
71. paternal grandfather?,b,grandpa,35.19,OR
71. paternal grandfather?,c,grampa,39.2,OR
71. paternal grandfather?,d,pap,0.31,OR
71. paternal grandfather?,e,other,23.77,OR
72. What do you call the big clumps of dust that gather under furniture and in corners?,a,dust bunnies,78.47,OR
72. What do you call the big clumps of dust that gather under furniture and in corners?,b,dust kittens,0.59,OR
72. What do you call the big clumps of dust that gather under furniture and in corners?,c,dust mice,1.18,OR
72. What do you call the big clumps of dust that gather under furniture and in corners?,e,dust balls,14.45,OR
72. What do you call the big clumps of dust that gather under furniture and in corners?,f,other,5.31,OR
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",a,sneakers,16.22,OR
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",j,I have no general word for this,0.59,OR
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",k,other,5.01,OR
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",b,shoes,2.36,OR
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",c,gymshoes,4.42,OR
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",f,tennis shoes,68.14,OR
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",g,running shoes,2.36,OR
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",h,runners,0.29,OR
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",i,trainers,0.59,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,a,pill bug,11.76,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,j,millipede,0.29,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,k,centipede,0.88,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,l,"I know what this creature is, but have no word for it",1.47,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,m,I have no idea what this creature is,2.35,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,n,other,3.24,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,b,doodle bug,0.88,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,c,potato bug,60,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,d,roly poly,7.65,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,e,sow bug,10.88,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,h,roll-up bug,0.29,OR
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,i,wood louse,0.29,OR
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,a,shopping cart,79.18,OR
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,c,grocery cart,17.01,OR
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,e,carriage,0.29,OR
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,f,buggy,0.29,OR
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,g,supermarket trolley,0.29,OR
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,h,other,2.93,OR
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,a,kitty-corner,75.44,OR
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,c,catercorner,1.17,OR
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,d,catty-corner,11.11,OR
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,f,kitty wampus,0.29,OR
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,g,"I can only use ""diagonal"" for this",6.73,OR
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,h,I have no term for this,3.51,OR
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,i,other,1.75,OR
77. What do you call the activity of driving around in circles in a car?,a,doing donuts,56.88,OR
77. What do you call the activity of driving around in circles in a car?,b,doing cookies,20.31,OR
77. What do you call the activity of driving around in circles in a car?,d,other,22.81,OR
78. What do you call paper that has already been used for something or is otherwise imperfect?,a,scratch paper,44.74,OR
78. What do you call paper that has already been used for something or is otherwise imperfect?,b,scrap paper,6.14,OR
78. What do you call paper that has already been used for something or is otherwise imperfect?,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",46.78,OR
78. What do you call paper that has already been used for something or is otherwise imperfect?,d,other,2.34,OR
79. What is your *general* term for a big road that you drive relatively fast on?,a,highway,22.58,OR
79. What is your *general* term for a big road that you drive relatively fast on?,j,other,3.52,OR
79. What is your *general* term for a big road that you drive relatively fast on?,b,freeway,24.93,OR
79. What is your *general* term for a big road that you drive relatively fast on?,e,expressway,0.59,OR
79. What is your *general* term for a big road that you drive relatively fast on?,g,a freeway is bigger than a highway,14.08,OR
79. What is your *general* term for a big road that you drive relatively fast on?,h,"a freeway is free (i.e., doesn't charge tolls); a highway isn't",0.29,OR
79. What is your *general* term for a big road that you drive relatively fast on?,i,"a freeway has limited access (no stop lights, no intersections), whereas a highway can have stop lights and intersections",34.02,OR
80. What do you call it when rain falls while the sun is shining?,a,sunshower,12.87,OR
80. What do you call it when rain falls while the sun is shining?,c,the devil is beating his wife,1.75,OR
80. What do you call it when rain falls while the sun is shining?,d,monkey's wedding,0.29,OR
80. What do you call it when rain falls while the sun is shining?,e,fox's wedding,0.29,OR
80. What do you call it when rain falls while the sun is shining?,g,liquid sun,5.85,OR
80. What do you call it when rain falls while the sun is shining?,h,I have no term or expression for this,73.1,OR
80. What do you call it when rain falls while the sun is shining?,i,other,5.85,OR
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",a,goose bumps,92.71,OR
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",b,goose flesh,0.29,OR
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",c,goose pimples,5.54,OR
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",g,cold-chill bumps,0.58,OR
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",h,other,0.87,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",k,eye crusties,2.62,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",l,sand,7,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",n,gunk,9.04,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",o,matter,1.46,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",p,I have no word for this,8.75,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",q,other,9.33,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",b,sleep,38.78,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",c,sleeper,3.79,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",d,sleepy,0.87,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",e,sleepies,6.41,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",g,sleepy bugs,0.58,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",h,eye booger,11.08,OR
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",i,eye shit,0.29,OR
83. What do you call an easy course?,a,gut,5.34,OR
83. What do you call an easy course?,c,crip course,1.07,OR
83. What do you call an easy course?,d,bird,1.78,OR
83. What do you call an easy course?,e,blow-off,17.79,OR
83. What do you call an easy course?,f,meat,0.71,OR
83. What do you call an easy course?,g,other,73.31,OR
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,a,rotary,5,OR
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,b,roundabout,37.06,OR
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,c,circle,5,OR
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,d,traffic circle,37.35,OR
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,f,I have no word for this,12.65,OR
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,g,other,2.94,OR
85. What is the thing that women use to tie their hair?,a,(hair) elastic,6.29,OR
85. What is the thing that women use to tie their hair?,b,rubber band,29.64,OR
85. What is the thing that women use to tie their hair?,d,hair thing,13.77,OR
85. What is the thing that women use to tie their hair?,e,hair tie,28.14,OR
85. What is the thing that women use to tie their hair?,f,other,22.16,OR
86. Do you use the word cruller?,a,yes,18.6,OR
86. Do you use the word cruller?,b,"no, but I know what it means",50.87,OR
86. Do you use the word cruller?,c,I have no idea what this means,30.52,OR
"87. Do you use the term ""bear claw"" for a kind of pastry?",a,yes,82.22,OR
"87. Do you use the term ""bear claw"" for a kind of pastry?",b,"no, but I know what it means",15.45,OR
"87. Do you use the term ""bear claw"" for a kind of pastry?",c,I have no idea what this means,2.33,OR
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,a,duck-footed,28.53,OR
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,b,slue-footed,1.76,OR
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,c,splay-footed,5.29,OR
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,d,bow-legged,24.41,OR
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,e,toed out,3.82,OR
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,f,other,2.65,OR
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,g,I have no word for this,33.53,OR
"89. Can you call coleslaw ""slaw""?",a,yes,28.28,OR
"89. Can you call coleslaw ""slaw""?",b,"yes, but I can also use it in other forms such as apple slaw or broccoli slaw",9.91,OR
"89. Can you call coleslaw ""slaw""?",c,no,53.94,OR
"89. Can you call coleslaw ""slaw""?",d,I have never heard that usage before,6.12,OR
"89. Can you call coleslaw ""slaw""?",e,other,1.75,OR
90. What do you call the box you bury a dead person in?,a,coffin,65.99,OR
90. What do you call the box you bury a dead person in?,b,casket,13.37,OR
90. What do you call the box you bury a dead person in?,c,"a coffin and a casket are not the same, and I know the difference",12.5,OR
90. What do you call the box you bury a dead person in?,d,other,8.14,OR
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",a,vinegar and oil,7.85,OR
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",b,oil and vinegar,79.94,OR
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",c,both sound equally good to me,11.63,OR
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",d,neither,0.58,OR
92. What do you call it when a driver changes over one or more lanes way too quickly?,a,Chinese lane change,3.65,OR
92. What do you call it when a driver changes over one or more lanes way too quickly?,b,Chinese fire drill,6.2,OR
92. What do you call it when a driver changes over one or more lanes way too quickly?,c,other,90.15,OR
"93. When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",a,on line,0.58,OR
"93. When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",b,in line,97.38,OR
"93. When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",c,both sound equally good,0.87,OR
